request,duration
1,131.0
2,128.0
3,129.0
4,125.0
5,129.0
6,130.0
7,131.0
8,126.0
9,128.0
10,131.0
11,130.0
12,132.0
13,126.0
14,126.0
15,128.0
16,131.0
17,130.0
18,131.0
19,133.0
20,128.0
21,130.0
22,127.0
23,130.0
24,134.0
25,128.0
26,127.0
27,127.0
28,130.0
29,132.0
30,130.0
