request,duration
1,40.0
2,38.0
3,37.0
4,34.0
5,39.0
6,39.0
7,40.0
8,40.0
9,35.0
10,41.0
11,37.0
12,37.0
13,37.0
14,39.0
15,39.0
16,35.0
17,36.0
18,37.0
19,39.0
20,42.0
21,39.0
22,42.0
23,40.0
24,39.0
25,43.0
26,42.0
27,42.0
28,41.0
29,41.0
30,42.0
