request,duration
1,249.0
2,248.0
3,247.0
4,249.0
5,248.0
6,250.0
7,248.0
8,246.0
9,251.0
10,249.0
11,247.0
12,249.0
13,253.0
14,253.0
15,249.0
16,252.0
17,253.0
18,247.0
19,250.0
20,251.0
21,253.0
22,249.0
23,253.0
24,253.0
25,248.0
26,250.0
27,254.0
28,248.0
29,254.0
30,248.0
