request,messageCount
1,74
2,76
3,76
4,74
5,74
6,74
7,72
8,70
9,72
10,70
11,70
12,68
13,70
14,68
15,66
16,68
17,66
18,64
19,64
20,64
21,64
22,62
23,62
24,62
25,60
26,60
27,60
28,58
29,60
30,58
