request,duration
1,192.0
2,187.0
3,188.0
4,187.0
5,188.0
6,187.0
7,187.0
8,188.0
9,188.0
10,188.0
11,188.0
12,189.0
13,189.0
14,189.0
15,189.0
16,189.0
17,189.0
18,190.0
19,190.0
20,190.0
21,190.0
22,191.0
23,190.0
24,191.0
25,191.0
26,190.0
27,191.0
28,192.0
29,191.0
30,191.0
