request,duration
1,69.0
2,65.0
3,66.0
4,68.0
5,66.0
6,68.0
7,67.0
8,70.0
9,69.0
10,69.0
11,71.0
12,65.0
13,71.0
14,67.0
15,69.0
16,67.0
17,70.0
18,68.0
19,72.0
20,72.0
21,72.0
22,73.0
23,66.0
24,72.0
25,67.0
26,75.0
27,70.0
28,71.0
29,67.0
30,69.0
