request,duration
1,252.0
2,248.0
3,248.0
4,248.0
5,248.0
6,248.0
7,248.0
8,249.0
9,248.0
10,249.0
11,249.0
12,249.0
13,249.0
14,250.0
15,250.0
16,250.0
17,250.0
18,251.0
19,251.0
20,251.0
21,250.0
22,251.0
23,250.0
24,251.0
25,251.0
26,251.0
27,251.0
28,251.0
29,252.0
30,252.0
