request,duration
1,70.0
2,66.0
3,65.0
4,66.0
5,66.0
6,67.0
7,66.0
8,66.0
9,66.0
10,66.0
11,67.0
12,67.0
13,67.0
14,67.0
15,67.0
16,67.0
17,67.0
18,68.0
19,68.0
20,68.0
21,68.0
22,68.0
23,68.0
24,69.0
25,70.0
26,70.0
27,70.0
28,69.0
29,69.0
30,70.0
