request,duration
1,191.0
2,192.0
3,186.0
4,189.0
5,188.0
6,187.0
7,189.0
8,186.0
9,189.0
10,191.0
11,188.0
12,190.0
13,190.0
14,191.0
15,188.0
16,192.0
17,192.0
18,194.0
19,194.0
20,188.0
21,192.0
22,192.0
23,193.0
24,195.0
25,193.0
26,191.0
27,190.0
28,189.0
29,197.0
30,196.0
